trade,category,name,unit,typical_low,typical_high,stocked_by
roofing,Shingles,"Architectural shingles, 30-year, bundle",bundle,34,46,"ABC Supply; SRS Distribution; Beacon Building Products; Home Depot Pro; Lowe's Pro; Menards"
roofing,Shingles,"Architectural shingles, 50-year, bundle",bundle,44,58,"ABC Supply; SRS Distribution; Beacon Building Products"
roofing,Shingles,"3-tab shingles, 25-year, bundle",bundle,28,38,"ABC Supply; SRS Distribution; Beacon Building Products; Home Depot Pro; Lowe's Pro; Menards"
roofing,Shingles,"Designer shingles, bundle",bundle,58,82,"ABC Supply; SRS Distribution; Beacon Building Products"
roofing,Shingles,"Ridge cap shingles, 20 lf bundle",bundle,48,66,"ABC Supply; SRS Distribution; Beacon Building Products; Home Depot Pro; Lowe's Pro; Menards"
roofing,Shingles,"Starter strip shingles, 100 lf bundle",bundle,36,52,"ABC Supply; SRS Distribution; Beacon Building Products; Home Depot Pro; Lowe's Pro; Menards"
roofing,Shingles,"Hip and ridge, high profile, bundle",bundle,62,88,"ABC Supply; SRS Distribution; Beacon Building Products"
roofing,Underlayment,"Synthetic underlayment, 10 sq roll",roll,68,105,"ABC Supply; SRS Distribution; Beacon Building Products; Home Depot Pro; Lowe's Pro; Menards"
roofing,Underlayment,"Felt underlayment 15 lb, 4 sq roll",roll,24,34,"ABC Supply; SRS Distribution; Beacon Building Products; Home Depot Pro; Lowe's Pro; Menards"
roofing,Underlayment,"Felt underlayment 30 lb, 2 sq roll",roll,26,38,"ABC Supply; SRS Distribution; Beacon Building Products; Home Depot Pro; Lowe's Pro; Menards"
roofing,Underlayment,"Ice and water shield, 2 sq roll",roll,82,120,"ABC Supply; SRS Distribution; Beacon Building Products; Home Depot Pro; Lowe's Pro; Menards"
roofing,Underlayment,"Ice and water shield, high temp, 2 sq",roll,115,165,"ABC Supply; SRS Distribution; Beacon Building Products"
roofing,Metal,"Aluminum drip edge, 10 ft",ea,7.5,13,"ABC Supply; SRS Distribution; Beacon Building Products; Home Depot Pro; Lowe's Pro; Menards"
roofing,Metal,"Galvanized drip edge, 10 ft",ea,8,14,"ABC Supply; SRS Distribution; Beacon Building Products; Home Depot Pro; Lowe's Pro; Menards"
roofing,Metal,"Valley metal, W-style, 10 ft",ea,20,32,"ABC Supply; SRS Distribution; Beacon Building Products"
roofing,Metal,"Flashing coil, aluminum, 50 ft",roll,115,175,"ABC Supply; SRS Distribution; Beacon Building Products"
roofing,Flashing,"Step flashing 4x4x8, 100 ct",box,38,58,"ABC Supply; SRS Distribution; Beacon Building Products; Home Depot Pro; Lowe's Pro; Menards"
roofing,Flashing,"Pipe boot flashing, 3 in",ea,9.5,17,"ABC Supply; SRS Distribution; Beacon Building Products; Home Depot Pro; Lowe's Pro; Menards"
roofing,Flashing,"Pipe boot flashing, lead, 3 in",ea,22,38,"ABC Supply; SRS Distribution; Beacon Building Products"
roofing,Flashing,"Chimney flashing kit",ea,58,110,"ABC Supply; SRS Distribution; Beacon Building Products"
roofing,Flashing,"Counter flashing, 10 ft",ea,16,28,"ABC Supply; SRS Distribution; Beacon Building Products"
roofing,Fasteners,"Roofing nails 1-1/4 in, 30 lb",box,52,78,"ABC Supply; SRS Distribution; Beacon Building Products; Home Depot Pro; Lowe's Pro; Menards"
roofing,Fasteners,"Roofing nails 1-1/2 in, 30 lb",box,54,82,"ABC Supply; SRS Distribution; Beacon Building Products; Home Depot Pro; Lowe's Pro; Menards"
roofing,Fasteners,"Cap nails 1 in, 3000 ct",box,42,68,"ABC Supply; SRS Distribution; Beacon Building Products; Home Depot Pro; Lowe's Pro; Menards"
roofing,Fasteners,"Plastic cap staples, 2000 ct",box,22,36,"ABC Supply; SRS Distribution; Beacon Building Products"
